ClientId,Period,PlanId,PlanName,FormularyId,FormularyName,ControllerId,ControllerName,Channel,PlanType,PBMId,PBMName
13104,202112,362,Kern Family Health Care California Medi-Cal,59952,Kern Family Health Care Medi-Cal,17187,County Health Authority,Managed Medicaid,HMO - Medicaid,3995,DST Pharmacy Solutions
13104,202112,363,Health Plan of San Mateo,60454,Health Plan of San Mateo,7463,"Health Plan of San Mateo, Inc.",Managed Medicaid,HMO - Medicaid,3995,DST Pharmacy Solutions
13104,202112,372,Health Net of CA HMO Three Tier,59603,Health Net of California Three Tier,5702,Centene Corporation,Commercial,HMO,3190,Health Net Pharmaceutical Services
13104,202112,375,Ventura County Health Care Plan California,59853,Ventura County Health Care Plan,63603,State of California,Commercial,HMO,7504,Express Scripts PBM
13104,202112,377,Contra Costa Health Plan - Commercial,60471,Contra Costa Health Plan BHC,7652,Contra Costa Health Services,Commercial,HMO,7237,PerformRx
13104,202112,378,IEHP Medi-Cal,60046,Inland Empire Health Plan Medi-Cal,7664,Inland Empire Health Plan,Managed Medicaid,HMO - Medicaid,3995,DST Pharmacy Solutions
13104,202112,384,Anthem Blue Cross of CA National Closed HMO,59624,Anthem National Closed,3181,"Anthem, Inc.",Commercial,HMO,69652,IngenioRx
13104,202112,391,CenCal Health Medi-Cal,60372,CenCal Health,63854,CenCal Health,Managed Medicaid,HMO - Medicaid,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,393,Blue Shield of California Promise Health Plan Medi-Cal,59896,Blue Shield of California Promise Health Plan Medi-Cal,7521,Blue Shield of California,Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,428,ConnectiCare Three Tier HMO,59798,ConnectiCare 3 Tier,60214,"EmblemHealth, Inc.",Commercial,HMO,7504,Express Scripts PBM
13104,202112,449,Kaiser Foundation Health Plan Georgia,60022,Kaiser Permanente Georgia HMO,3171,"Kaiser Foundation Health Plans, Inc.",Commercial,HMO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,460,HMSA Choice Hawaii HMO,60103,HMSA Choice,5732,Hawaii Medical Service Association,Commercial,HMO,884,CVS Caremark RX
13104,202112,461,Kaiser Foundation Health Plan Hawaii,59756,Kaiser Permanente Hawaii,3171,"Kaiser Foundation Health Plans, Inc.",Commercial,HMO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,471,Viva Health Alabama,59547,Viva Health Alabama,69679,Triton Health Systems,Commercial,HMO,7504,Express Scripts PBM
13104,202112,473,Medical Associates Health Plan,60481,Medical Associates Health Plan,7641,"Medical Associates Health Plan, Inc.",Commercial,HMO,2596,Magellan Rx Management
13104,202112,479,AmeriHealth Caritas District of Columbia,59701,AmeriHealth Caritas District of Columbia,5820,Independence Blue Cross,Managed Medicaid,HMO - Medicaid,7237,PerformRx
13104,202112,482,Highmark Blue Cross Blue Shield of Delaware HMO,59480,Highmark BCBS Delaware,4818,"Highmark, Inc.",Commercial,HMO,7504,Express Scripts PBM
13104,202112,493,Health Plans of Nevada Three Tier HMO,59845,Health Plan of Nevada Three Tier,3180,"UnitedHealth Group, Inc.",Commercial,HMO,889,OptumRx
13104,202112,495,Hometown Health Plan HMO,59793,Hometown Enhanced,69676,Renown Health,Commercial,HMO,66753,Hometown RX PBM
13104,202112,499,Prominence Health Plan HealthFirst NV HMO,62012,Prominence Health Plan Nevada,63038,"Universal Health Services, Inc.",Commercial,HMO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,508,AultCare HMO Ohio,59768,AultCare,3325,AultCare Health Foundation,Commercial,HMO,889,OptumRx
13104,202112,519,The Health Plan HMO,63611,The Health Plan Upper Ohio Valley Incentive Formulary,7464,"The Health Plan of the Upper Ohio Valley, Inc.",Commercial,HMO,7504,Express Scripts PBM
13104,202112,523,Medical Mutual HMO,60043,Medical Mutual of Ohio,3356,Medical Mutual of Ohio Corporation,Commercial,HMO,7504,Express Scripts PBM
13104,202112,532,Paramount Healthcare HMO,59584,Paramount Healthcare,7413,"Paramount Health Care, Inc.",Commercial,HMO,884,CVS Caremark RX
13104,202112,548,CommunityCare Oklahoma HMO,60114,Community Care OK,3335,"Community Care, Inc.",Commercial,HMO,884,CVS Caremark RX
13104,202112,556,Kaiser Foundation Health Plan Northwest (Washington & Oregon),59799,Kaiser Permanente Northwest,3171,"Kaiser Foundation Health Plans, Inc.",Commercial,HMO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,574,Vantage Health Plan Louisiana,61375,Vantage Health Plan LA,5696,Vantage Health Corporation,Commercial,HMO,60242,Navitus Health Solutions PBM
13104,202112,618,UnitedHealthcare Community Plan - PA,59978,UnitedHealthcare Community Plan of Pennsylvania,63638,State of Pennsylvania,Managed Medicaid,HMO - Medicaid,889,OptumRx
13104,202112,620,Blue Cross Blue Shield of Kansas City HMO 3 Tier,59901,BCBS Kansas City MO 3 Tier,17947,Blue Cross Blue Shield of Kansas City,Commercial,HMO,889,OptumRx
13104,202112,621,Blue Cross Blue Shield of Kansas City HMO 2 Tier,59899,BCBS Kansas City MO 2 Tier,17947,Blue Cross Blue Shield of Kansas City,Commercial,HMO,889,OptumRx
13104,202112,689,Optima Health Plan HMO,59862,Optima Health Open Formulary,3379,Sentara Health System Corporation,Commercial,HMO,889,OptumRx
13104,202112,697,Virginia Premier VA Medallion 4.0,60363,Virginia Premier,3379,Sentara Health System Corporation,Managed Medicaid,HMO - Medicaid,5997,Elixir PBM
13104,202112,701,Dean Health Plan HMO Two Tier,59970,Dean Health Plan Two Tier,69678,SSM Health Dean Medical Group,Commercial,HMO,60242,Navitus Health Solutions PBM
13104,202112,706,Health Tradition HMO,64238,Health Tradition,60208,"MedImpact Healthcare Systems, Inc.",Commercial,HMO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,708,Group Health Cooperative of Eau Claire BadgerCare Plus,62186,Group Health Cooperative of Eau Claire BadgerCare Plus,63649,State of Wisconsin,Managed Medicaid,HMO - Medicaid,6189,Gainwell Technologies
13104,202112,710,Quartz Health Solutions Standard 4 Tier PPO,59976,Quartz Health Solutions Standard Four Tier,68389,Quartz Health Solutions,Commercial,PPO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,713,MercyCare Health Plan Wisconsin HMO,60068,MercyCare Health Plans 3-Tier,60546,Mercy Health System Corporation,Commercial,HMO,60242,Navitus Health Solutions PBM
13104,202112,722,Quartz Health Solutions Standard Choice 3 Tier HMO,59591,Quartz Health Solutions Standard Choice Three Tier,68389,Quartz Health Solutions,Commercial,HMO,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,767,Minnesota Medicaid,59428,Minnesota Medicaid,63623,State of Minnesota,State Medicaid,State Medicaid,2596,Magellan Rx Management
13104,202112,789,Seton HealthCare Employee Health Plan,59951,Ascension Health,3164,Cigna Corporation,Commercial,Employer,7504,Express Scripts PBM
13104,202112,795,DakotaCare,59659,DakotaCare,17162,Avera Health,Commercial,HMO,884,CVS Caremark RX
13104,202112,813,BlueCross BlueShield of Tennessee Blue Care,62083,BlueCross BlueShield of Tennessee TennCare,63642,State of Tennessee,Managed Medicaid,HMO - Medicaid,889,OptumRx
13104,202112,815,Blue Cross Blue Shield of Kansas City PPO 3 Tier,59901,BCBS Kansas City MO 3 Tier,17947,Blue Cross Blue Shield of Kansas City,Commercial,PPO,889,OptumRx
13104,202112,823,BCBS FEP Standard ,59549,BCBS FEP Standard,3396,Blue Cross Blue Shield Association Corporation,Commercial,Other Insurer,884,CVS Caremark RX
13104,202112,824,Blue Cross Blue Shield of Alabama PPO Three Tier,60078,BCBS Alabama,7519,Blue Cross Blue Shield of Alabama,Commercial,PPO,60243,Prime Therapeutics
13104,202112,827,BCBS of Kansas PPO Two Tier Open,59761,BCBS of Kansas National/Select Two Tier Open,60568,Blue Cross and Blue Shield of Kansas,Commercial,PPO,60243,Prime Therapeutics
13104,202112,829,Blue Cross Blue Shield of Mississippi,60271,BCBS Mississippi  4 TIER,18055,Blue Cross Blue Shield of Mississippi Corporation,Commercial,PPO,60243,Prime Therapeutics
13104,202112,839,Blue Shield of California Plus PPO ,60547,Blue Shield of California Plus Formulary,7521,Blue Shield of California,Commercial,PPO,884,CVS Caremark RX
13104,202112,842,California Medicaid (Medi-Cal),59873,Medi Cal,63603,State of California,State Medicaid,State Medicaid,6016,Conduent PBM
13104,202112,843,Michigan Medicaid,59422,Michigan Medicaid,63622,State of Michigan,State Medicaid,State Medicaid,2596,Magellan Rx Management
13104,202112,846,Blue Cross Blue Shield of South Carolina PPO,64348,BCBS of South Carolina Lowest Net Cost Formulary,7522,Blue Cross Blue Shield of South Carolina,Commercial,PPO,889,OptumRx
13104,202112,870,Tufts Associated Health Plan  Massachusetts 3-Tier PPO,59863,Tufts Health Plan MA 3- Tier,7467,Tufts Health Plan Corp.,Commercial,PPO,884,CVS Caremark RX
13104,202112,873,Sierra Health and Life Three Tier PPO,59848,Sierra Health and Life Three Tier,3180,"UnitedHealth Group, Inc.",Commercial,PPO,889,OptumRx
13104,202112,874,Keystone First,63827,Keystone First,63638,State of Pennsylvania,Managed Medicaid,HMO - Medicaid,7237,PerformRx
13104,202112,876,HMSA QUEST Integration,60085,HMSA Quest,5732,Hawaii Medical Service Association,Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,885,Anthem Blue Cross of CA National Closed PPO,59624,Anthem National Closed,3181,"Anthem, Inc.",Commercial,PPO,69652,IngenioRx
13104,202112,888,Blue Cross Blue Shield of Arizona Blue Preferred PPO,59644,BCBS of Arizona with Specialty,18103,"Blue Cross Blue Shield of Arizona, Inc.",Commercial,PPO,889,OptumRx
13104,202112,890,Ohio Medicaid Fee For Service,59637,Ohio Medicaid Fee For Service,63635,State of Ohio,State Medicaid,State Medicaid,6107,Change Healthcare PBM
13104,202112,931,Community First Health Plans Texas,59816,Community First Health Plans,17178,University Health System Inc.,Commercial,HMO,60242,Navitus Health Solutions PBM
13104,202112,935,Amerigroup NJ,61761,Amerigroup Community Care New Jersey,3181,"Anthem, Inc.",Managed Medicaid,HMO - Medicaid,69652,IngenioRx
13104,202112,1002,Colorado Medicaid,59595,Colorado State Medicaid,63604,State of Colorado,State Medicaid,State Medicaid,2596,Magellan Rx Management
13104,202112,1016,Archdiocese of Miami,59432,Florida Blue Three Tier,69720,Florida Blue,Commercial,Employer,60243,Prime Therapeutics
13104,202112,1020,Humana Rx3 Traditional PPO,59441,Humana Rx3 Traditional,3169,"Humana, Inc.",Commercial,PPO,66445,Humana PBM
13104,202112,1092,CNA Insurance Employees,61854,CVS Caremark Performance Standard Control,70777,CVS Health (Aetna),Commercial,Employer,884,CVS Caremark RX
13104,202112,1125,Health Net Medi-Cal,59877,Health Net Medi-Cal,5702,Centene Corporation,Managed Medicaid,HMO - Medicaid,3190,Health Net Pharmaceutical Services
13104,202112,1126,Hometown Health Plan PPO,59793,Hometown Enhanced,69676,Renown Health,Commercial,PPO,66753,Hometown RX PBM
13104,202112,1135,Health Alliance Plan Michigan PPO Three Tier,59727,Health Alliance Plan of Michigan 3-Tier,3345,Health Alliance Plan HAP (Henry Ford Health System),Commercial,PPO,7504,Express Scripts PBM
13104,202112,1137,Blue Cross Blue Shield of Massachusetts Blue Care Elect,59753,BCBS Massachusetts Two Tier,7513,Blue Cross Blue Shield of Massachusetts,Commercial,PPO,7504,Express Scripts PBM
13104,202112,1146,Empire BCBS of New York National PPO 3 Tier,62443,Empire BCBS New York National Three Tier,3181,"Anthem, Inc.",Commercial,PPO,69652,IngenioRx
13104,202112,1152,Amerigroup TX STAR,60756,Amerigroup Texas STAR,63643,State of Texas,Managed Medicaid,HMO - Medicaid,69652,IngenioRx
13104,202112,2334,Alabama Medicaid,59491,Alabama State Medicaid,63599,State of Alabama,State Medicaid,State Medicaid,6189,Gainwell Technologies
13104,202112,2338,Oregon Medicaid (Oregon Health Plan),59915,Oregon Health Plan (Medicaid),63637,State of Oregon,State Medicaid,State Medicaid,6189,Gainwell Technologies
13104,202112,2342,New York Medicaid,59713,New York State Medicaid,63632,State of New York,State Medicaid,State Medicaid,2596,Magellan Rx Management
13104,202112,2346,Highmark Blue Cross Blue Shield of Delaware PPO,59480,Highmark BCBS Delaware,4818,"Highmark, Inc.",Commercial,PPO,7504,Express Scripts PBM
13104,202112,2352,Rhode Island Medicaid,59492,Rhode Island Medicaid,63639,State of Rhode Island,State Medicaid,State Medicaid,6189,Gainwell Technologies
13104,202112,2360,CalOptima Medi-Cal,59852,CalOptima Medi-Cal,7441,CalOptima,Managed Medicaid,HMO - Medicaid,60208,"MedImpact Healthcare Systems, Inc."
13104,202112,2362,LA Care Health Plan Medi-Cal,59927,LA Care Health Plan Medi-Cal,61891,L.A. Care Health Plan,Managed Medicaid,HMO - Medicaid,60242,Navitus Health Solutions PBM
13104,202112,2363,Harvard Pilgrim PPO,59712,Harvard Pilgrim Premium 3 Tier,3343,"Harvard Pilgrim Healthcare, Inc.",Commercial,PPO,889,OptumRx
13104,202112,2370,Molina Medi-Cal,60362,Molina Medi-Cal,6149,"Molina Health Care, Inc.",Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,2385,Molina Healthcare of Washington Apple Health,60371,Molina Healthcare of WA,6149,"Molina Health Care, Inc.",Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,2387,Univera Healthcare HMO,63622,Univera Healthcare 3 Tier,69674,Lifetime Healthcare Companies,Commercial,HMO,6466,FLRx
13104,202112,2398,Regence Blue Shield Washington PPO,62053,Regence Three-Tier Drug List,63149,Cambia Health Solutions,Commercial,PPO,60243,Prime Therapeutics
13104,202112,2405,AmeriHealth New Jersey PPO,64213,AmeriHealth NJ Select 3 Tier,5820,Independence Blue Cross,Commercial,PPO,62738,FutureScripts PBM
13104,202112,2411,Blue Cross Blue Shield of Massachusetts Blue Choice,59753,BCBS Massachusetts Two Tier,7513,Blue Cross Blue Shield of Massachusetts,Commercial,POS,7504,Express Scripts PBM
13104,202112,2416,Blue Cross Blue Shield of Vermont HMO,59703,BCBS of Vermont,60570,Blue Cross Blue Shield of Vermont,Commercial,HMO,889,OptumRx
13104,202112,2417,Blue Cross Blue Shield of Vermont PPO,59703,BCBS of Vermont,60570,Blue Cross Blue Shield of Vermont,Commercial,PPO,889,OptumRx
13104,202112,2434,Health Alliance Medical Plans PPO,59981,Health Alliance Standard Commercial Formulary,70783,The Carle Foundation,Commercial,PPO,889,OptumRx
13104,202112,2435,Health Alliance Medical Plans POS,59981,Health Alliance Standard Commercial Formulary,70783,The Carle Foundation,Commercial,POS,889,OptumRx
13104,202112,2445,Excellus BlueCross BlueShield POS Three Tier,59539,Excellus BCBS 3 Tier,69674,Lifetime Healthcare Companies,Commercial,POS,6466,FLRx
13104,202112,2460,Regence Blue Cross Blue Shield of Utah PPO 3 Tier,62053,Regence Three-Tier Drug List,63149,Cambia Health Solutions,Commercial,PPO,60243,Prime Therapeutics
13104,202112,2480,Horizon NJ Health,59876,Horizon NJ Health,7527,Horizon Blue Cross Blue Shield of New Jersey,Managed Medicaid,HMO - Medicaid,71541,Horizon NJ Health (Internal)
13104,202112,2486,UPMC Your Choice HMO,60861,UPMC Your Choice,5699,UPMC Health System,Commercial,HMO,7504,Express Scripts PBM
13104,202112,2493,AlohaCare QUEST Integration,59924,Aloha Care Quest,7406,AlohaCare,Managed Medicaid,HMO - Medicaid,69652,IngenioRx
13104,202112,2495,HMSA Choice Hawaii PPO,60103,HMSA Choice,5732,Hawaii Medical Service Association,Commercial,PPO,884,CVS Caremark RX
13104,202112,2501,HMAA,64239,Hawaii Medical Assurance Association,889,OptumRx,Commercial,PPO,889,OptumRx
13104,202112,2502,UnitedHealthcare Community Plan - NJ FamilyCare,59977,UnitedHealthcare Community Plan of New Jersey,3180,"UnitedHealth Group, Inc.",Managed Medicaid,HMO - Medicaid,889,OptumRx
13104,202112,2506,Operating Engineers Local 501 Security Fund,64119,OptumRx Select Standard,889,OptumRx,Commercial,Employer,889,OptumRx
13104,202112,2523,Kaiser Permanente Washington Two Tier HMO,60187,Kaiser Permanente Washington Two Tier,3171,"Kaiser Foundation Health Plans, Inc.",Commercial,HMO,889,OptumRx
13104,202112,2532,Gateway Health Plan Medicaid,59829,Gateway Health Plan Pennsylvania,63638,State of Pennsylvania,Managed Medicaid,HMO - Medicaid,3995,DST Pharmacy Solutions
13104,202112,2535,UnitedHealthcare Community Plan - TennCare,62085,UnitedHealthcare Community Plan TennCare,63642,State of Tennessee,Managed Medicaid,HMO - Medicaid,889,OptumRx
13104,202112,2539,Community Health Plan of Washington Apple Health,60414,Community Health Plan of Washington Apple Health,7637,Community Health Network of Washington,Managed Medicaid,HMO - Medicaid,7504,Express Scripts PBM
13104,202112,2544,Health Alliance Plan Michigan HMO Three Tier,59727,Health Alliance Plan of Michigan 3-Tier,3345,Health Alliance Plan HAP (Henry Ford Health System),Commercial,HMO,7504,Express Scripts PBM
13104,202112,2550,Spectrum Health,59911,Priority Health Michigan Commercial Formulary,69677,Spectrum Health System,Commercial,Employer,7504,Express Scripts PBM
13104,202112,2578,MetroPlus Health Plan New York Medicaid,60655,MetroPlus Health Plan New York Medicaid,17204,New York City Health and Hospitals Corporation,Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,2583,Affinity Health Plan Managed Medicaid,60652,Affinity Health Plan Managed Medicaid,62500,Affinity Health System New York,Managed Medicaid,HMO - Medicaid,884,CVS Caremark RX
13104,202112,2593,Wellmark Blue Cross and Blue Shield of Iowa 3 Tier,60109,Wellmark Blue Rx Preferred 3 Tier with Specialty,3394,"Wellmark, Inc.",Commercial,PPO,884,CVS Caremark RX
13104,202112,2595,Wellmark Blue Cross and Blue Shield of South Dakota 3 Tier,60109,Wellmark Blue Rx Preferred 3 Tier with Specialty,3394,"Wellmark, Inc.",Commercial,PPO,884,CVS Caremark RX
13104,202112,2600,Upper Peninsula Health Plan Medicaid,59832,Upper Peninsula Health Plan,63039,Upper Peninsula Health Plan,Managed Medicaid,HMO - Medicaid,2596,Magellan Rx Management
13104,202112,2609,Jai Medical System Maryland HealthChoice,61403,Jai Medical Systems,63034,"JAI Medical Systems, Inc.",Managed Medicaid,HMO - Medicaid,5420,MC-RX
13104,202112,2613,Medical Mutual PPO,60043,Medical Mutual of Ohio,3356,Medical Mutual of Ohio Corporation,Commercial,PPO,7504,Express Scripts PBM
13104,202112,2639,Managed Health Services Indiana Hoosier Healthwise ,62178,Managed Health Services Indiana Hoosier Healthwise,5702,Centene Corporation,Managed Medicaid,HMO - Medicaid,6337,Envolve Pharmacy Solutions
13104,202112,2641,Western Health Advantage,59635,Western Health Advantage Commercial,7482,Western Health Advantage Corporation,Commercial,HMO,889,OptumRx
13104,202112,2658,First Choice by Select Health of South Carolina,59796,First Choice by Select Health of South Carolina,5820,Independence Blue Cross,Managed Medicaid,HMO - Medicaid,7237,PerformRx
13104,202112,2665,Excellus BlueCross BlueShield PPO Three Tier,59539,Excellus BCBS 3 Tier,69674,Lifetime Healthcare Companies,Commercial,PPO,6466,FLRx
13104,202112,2670,San Francisco Health Plan MediCal,60093,San Francisco Health Plan Medi-Cal,63846,San Francisco Health Plan (SFHP),Managed Medicaid,HMO - Medicaid,2596,Magellan Rx Management
13104,202112,2721,UPMC For You Southwest Region,60836,UPMC For You,63638,State of Pennsylvania,Managed Medicaid,HMO - Medicaid,7504,Express Scripts PBM
13104,202112,2730,Florida Blue Options Three Tier,59432,Florida Blue Three Tier,69720,Florida Blue,Commercial,PPO,60243,Prime Therapeutics
13104,202112,2740,AT&T,61855,CVS Caremark Performance Standard Control w/ Advanced Specialty Control,70777,CVS Health (Aetna),Commercial,Employer,884,CVS Caremark RX
13104,202112,2755,Blue Care Network of Michigan HMO 3 Tier,59773,BCN Michigan Custom 3T Formulary,7510,Blue Cross Blue Shield of Michigan,Commercial,HMO,7504,Express Scripts PBM
13104,202112,2761,Priority Health Michigan Medicaid,60061,Priority Health Michigan Medicaid,69677,Spectrum Health System,Managed Medicaid,HMO - Medicaid,7504,Express Scripts PBM
13104,202112,2774,PreferredOne  PIC & PCHP HMO,61710,PreferredOne Formulary PIC & PCHP,3372,PreferredOne Corporation,Commercial,HMO,63088,ClearScript PBM
13104,202112,2784,Los Alamos National Laboratory,63655,BCBS of New Mexico Basic 6 Tier,3309,Health Care Service Corporation,Commercial,Employer,60243,Prime Therapeutics
13104,202112,2790,American Electric Power,61819,Express Scripts National Preferred with Advantage Plus,7504,Express Scripts PBM,Commercial,Employer,7504,Express Scripts PBM
13104,202112,2792,Annuity Board SBC,61825,Express Scripts National Preferred with Limited,7504,Express Scripts PBM,Commercial,Employer,7504,Express Scripts PBM
13104,202112,2796,Bridgestone/Firestone,61854,CVS Caremark Performance Standard Control,70777,CVS Health (Aetna),Commercial,Employer,884,CVS Caremark RX
13104,202112,2799,JPMorgan Chase & Company,61855,CVS Caremark Performance Standard Control w/ Advanced Specialty Control,70777,CVS Health (Aetna),Commercial,Employer,884,CVS Caremark RX
13104,202112,2801,DOW Chemical Company,64009,Aetna Advanced Control Plans - Aetna,70777,CVS Health (Aetna),Commercial,Employer,884,CVS Caremark RX
13104,202112,2803,Duke Energy,61855,CVS Caremark Performance Standard Control w/ Advanced Specialty Control,70777,CVS Health (Aetna),Commercial,Employer,884,CVS Caremark RX
13104,202112,2804,Dupont,61855,CVS Caremark Performance Standard Control w/ Advanced Specialty Control,70777,CVS Health (Aetna),Commercial,Employer,884,CVS Caremark RX
13104,202112,2805,Exxon Mobil,61825,Express Scripts National Preferred with Limited,7504,Express Scripts PBM,Commercial,Employer,7504,Express Scripts PBM
13104,202112,2806,FCCI Insurance Group,61825,Express Scripts National Preferred with Limited,7504,Express Scripts PBM,Commercial,Employer,7504,Express Scripts PBM
